League,Team,Name,Goals,Expected goals (xG),Big chances missed,Successful dribbles,Total shots,Goal conversion %,Average Sofascore,Tackles,Interceptions,Clearances,Errors leading to goal,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes,Saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Position,Age,Market value
Laliga,CA Osasuna,Aitor Fernández,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,2.0,0.0,0.0,0.0,25.0,60.98,0.0,5.0,1.0,0.0,3.0,0.0,Goalkeeper,34.0,€1.50m
Laliga,FC Barcelona,Raphinha,16.0,16.89,17.0,49.0,101.0,15.84,7.85,35.0,8.0,21.0,0.0,25.0,9.0,894.0,78.7,88.0,0.0,0.0,0.0,0.0,0.0,Left Winger,28.0,€80.00m
Premier League,Arsenal,Neto,0.0,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,3.0,1.0,0.0,0.0,33.0,61.11,0.0,11.0,0.0,0.0,8.0,1.0,Goalkeeper,35.0,€2.00m
Premier League,Liverpool,Mohamed Salah,28.0,24.14,22.0,55.0,121.0,23.14,7.81,21.0,7.0,5.0,0.0,26.0,18.0,815.0,74.23,87.0,0.0,0.0,0.0,0.0,0.0,Right Winger,32.0,€55.00m
Laliga,FC Barcelona,Lamine Yamal,6.0,8.67,14.0,138.0,119.0,5.04,7.73,39.0,13.0,3.0,0.0,28.0,12.0,964.0,78.69,61.0,0.0,0.0,0.0,0.0,0.0,Right Winger,17.0,€180.00m
Premier League,Chelsea,Cole Palmer,15.0,17.2,14.0,51.0,123.0,12.2,7.64,28.0,11.0,17.0,1.0,21.0,8.0,1034.0,83.12,87.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,23.0,€130.00m
Premier League,Wolves,Matheus Cunha,15.0,8.04,2.0,58.0,99.0,15.15,7.63,35.0,17.0,19.0,0.0,13.0,6.0,711.0,79.26,55.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,25.0,€55.00m
Premier League,Arsenal,Bukayo Saka,6.0,6.71,8.0,39.0,63.0,9.52,7.62,24.0,3.0,6.0,0.0,20.0,10.0,465.0,84.85,57.0,0.0,0.0,0.0,0.0,0.0,Right Winger,23.0,€150.00m
Premier League,Bournemouth,Mark Travers,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,9.0,0.0,0.0,0.0,71.0,62.83,0.0,20.0,1.0,0.0,12.0,3.0,Goalkeeper,25.0,€4.00m
Laliga,Real Madrid,Kylian Mbappé,24.0,20.59,23.0,72.0,132.0,18.18,7.61,8.0,1.0,0.0,0.0,14.0,3.0,863.0,84.94,51.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,26.0,€170.00m
Premier League,Manchester United,Bruno Fernandes,8.0,9.62,10.0,27.0,90.0,8.89,7.6,77.0,25.0,30.0,1.0,15.0,9.0,1540.0,81.18,88.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,30.0,€55.00m
Laliga,FC Barcelona,Pedri,5.0,2.15,2.0,37.0,24.0,16.67,7.6,55.0,26.0,12.0,0.0,14.0,5.0,2101.0,88.61,65.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,22.0,€120.00m
Laliga,Real Betis,Sergio Arribas,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.0,3.0,4.0,0.0,0.0,0.0,28.0,68.29,0.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfielder,22.0,€270k
Laliga,RCD Mallorca,Leo Román,0.0,0.0,0.0,1.0,0.0,0.0,7.58,0.0,0.0,6.0,0.0,0.0,0.0,119.0,53.6,0.0,30.0,2.0,0.0,15.0,5.0,Goalkeeper,24.0,€2.50m
Laliga,Real Betis,Isco,8.0,7.53,3.0,22.0,37.0,21.62,7.56,16.0,8.0,5.0,0.0,5.0,7.0,822.0,86.53,52.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,33.0,€6.00m
Laliga,Real Betis,Antony,4.0,2.65,2.0,21.0,36.0,11.11,7.52,18.0,9.0,6.0,0.0,8.0,2.0,512.0,83.8,33.0,0.0,0.0,0.0,0.0,0.0,Right Winger,25.0,€20.00m
Laliga,Villarreal,Alejandro Baena,6.0,6.2,5.0,19.0,59.0,10.17,7.5,27.0,21.0,13.0,0.0,20.0,9.0,736.0,74.19,95.0,0.0,0.0,0.0,0.0,0.0,Central Midfielder,23.0,€50.00m
Premier League,Brentford,Bryan Mbeumo,18.0,11.0,8.0,48.0,80.0,22.5,7.49,45.0,14.0,48.0,1.0,17.0,7.0,771.0,74.64,67.0,0.0,0.0,0.0,0.0,0.0,Right Winger,25.0,€50.00m
Laliga,Real Madrid,Federico Valverde,6.0,2.33,1.0,13.0,45.0,13.33,7.48,42.0,51.0,47.0,1.0,7.0,4.0,1820.0,90.86,37.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,26.0,€130.00m
Laliga,Real Betis,Giovani Lo Celso,8.0,4.63,2.0,20.0,31.0,25.81,7.46,33.0,5.0,2.0,0.0,7.0,2.0,664.0,84.59,40.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,29.0,€20.00m
Premier League,Manchester City,Kevin De Bruyne,4.0,4.2,4.0,13.0,54.0,7.41,7.45,17.0,7.0,8.0,0.0,14.0,7.0,813.0,83.04,56.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,33.0,€27.00m
Laliga,Real Madrid,Jude Bellingham,8.0,10.03,12.0,36.0,56.0,14.29,7.44,55.0,25.0,17.0,0.0,4.0,8.0,1263.0,87.34,41.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,21.0,€180.00m
Laliga,RCD Espanyol,Joan García,0.0,0.07,0.0,0.0,1.0,0.0,7.44,0.0,0.0,39.0,2.0,0.0,0.0,648.0,66.39,0.0,134.0,7.0,2.0,82.0,18.0,Goalkeeper,24.0,€20.00m
Premier League,Brentford,Mark Flekken,0.0,0.0,0.0,1.0,0.0,0.0,7.42,4.0,0.0,46.0,1.0,2.0,2.0,1092.0,71.84,3.0,144.0,7.0,0.0,100.0,15.0,Goalkeeper,31.0,€10.00m
Laliga,Real Madrid,Rodrygo,6.0,4.0,1.0,49.0,54.0,11.11,7.4,21.0,11.0,7.0,0.0,5.0,5.0,900.0,90.91,49.0,0.0,0.0,0.0,0.0,0.0,Right Winger,24.0,€100.00m
Premier League,Manchester United,Amad Diallo,7.0,4.23,1.0,39.0,44.0,15.91,7.4,36.0,11.0,14.0,0.0,7.0,6.0,662.0,85.64,45.0,0.0,0.0,0.0,0.0,0.0,Right Winger,22.0,€40.00m
Premier League,Aston Villa,Youri Tielemans,3.0,3.14,3.0,31.0,39.0,7.69,7.4,83.0,22.0,46.0,0.0,16.0,7.0,1647.0,85.92,61.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,28.0,€35.00m
Laliga,Real Madrid,Vinícius Júnior,11.0,10.47,9.0,82.0,79.0,13.92,7.38,20.0,3.0,0.0,0.0,13.0,7.0,627.0,78.57,58.0,0.0,0.0,0.0,0.0,0.0,Left Winger,24.0,€200.00m
Premier League,Manchester City,Joško Gvardiol,5.0,4.43,8.0,24.0,39.0,12.82,7.37,54.0,39.0,106.0,1.0,1.0,0.0,2248.0,91.76,25.0,0.0,0.0,0.0,0.0,0.0,Centre Back,23.0,€75.00m
Laliga,FC Barcelona,Dani Olmo,9.0,5.6,5.0,21.0,39.0,23.08,7.35,14.0,3.0,10.0,0.0,7.0,2.0,452.0,82.63,23.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,27.0,€60.00m
Premier League,Chelsea,Enzo Fernández,6.0,6.1,4.0,25.0,52.0,11.54,7.35,64.0,13.0,20.0,0.0,13.0,7.0,1439.0,84.2,80.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,24.0,€75.00m
Premier League,Arsenal,Declan Rice,3.0,3.27,1.0,13.0,44.0,6.82,7.35,52.0,25.0,43.0,0.0,16.0,7.0,1255.0,89.9,58.0,0.0,0.0,0.0,0.0,0.0,Defensive Midfielder,26.0,€110.00m
Premier League,Tottenham,Antonín Kinský,0.0,0.0,0.0,0.0,0.0,0.0,7.34,3.0,0.0,13.0,0.0,1.0,0.0,117.0,75.97,1.0,19.0,1.0,0.0,15.0,2.0,Goalkeeper,22.0,€15.00m
Premier League,Manchester City,Savinho,1.0,5.01,6.0,52.0,55.0,1.82,7.34,23.0,6.0,9.0,0.0,11.0,8.0,662.0,87.34,46.0,0.0,0.0,0.0,0.0,0.0,Right Winger,21.0,€55.00m
Premier League,Fulham,Alex Iwobi,9.0,4.23,3.0,46.0,66.0,13.64,7.31,42.0,13.0,27.0,0.0,12.0,6.0,1062.0,79.85,60.0,0.0,0.0,0.0,0.0,0.0,Left Winger,29.0,€25.00m
Premier League,Manchester City,Mateo Kovačić,6.0,1.86,0.0,21.0,44.0,13.64,7.31,68.0,22.0,20.0,0.0,6.0,1.0,1660.0,92.58,31.0,0.0,0.0,0.0,0.0,0.0,Central Midfielder,31.0,€25.00m
Premier League,Manchester City,Jérémy Doku,3.0,1.04,0.0,107.0,24.0,12.5,7.31,30.0,4.0,2.0,0.0,9.0,6.0,570.0,84.44,31.0,0.0,0.0,0.0,0.0,0.0,Left Winger,22.0,€55.00m
Premier League,Manchester City,Omar Marmoush,6.0,4.94,3.0,18.0,40.0,15.0,7.31,11.0,5.0,3.0,0.0,6.0,0.0,192.0,82.76,13.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,26.0,€75.00m
Premier League,Tottenham,James Maddison,9.0,5.83,5.0,33.0,39.0,23.08,7.3,31.0,12.0,17.0,0.0,6.0,7.0,995.0,86.75,41.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,28.0,€50.00m
Premier League,Everton,James Tarkowski,1.0,1.31,2.0,5.0,15.0,6.67,7.3,64.0,41.0,209.0,1.0,5.0,1.0,1042.0,81.6,16.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,32.0,€10.00m
Premier League,Tottenham,Brandon Austin,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,1.0,0.0,0.0,0.0,18.0,66.67,0.0,2.0,0.0,0.0,2.0,2.0,Goalkeeper,26.0,€600k
Laliga,FC Barcelona,Robert Lewandowski,25.0,24.44,20.0,19.0,107.0,23.36,7.3,9.0,3.0,24.0,0.0,3.0,2.0,359.0,74.48,19.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,36.0,€15.00m
Premier League,Newcastle,Alexander Isak,23.0,20.27,18.0,42.0,96.0,23.96,7.3,12.0,3.0,17.0,0.0,11.0,6.0,481.0,76.35,42.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,25.0,€100.00m
Laliga,Real Madrid,Luka Modrić,2.0,1.46,1.0,9.0,17.0,11.76,7.3,28.0,23.0,12.0,0.0,16.0,5.0,1486.0,91.28,60.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,39.0,€5.00m
Premier League,Tottenham,Heung-min Son,7.0,7.22,7.0,29.0,56.0,12.5,7.3,17.0,5.0,15.0,0.0,16.0,9.0,679.0,84.03,50.0,0.0,0.0,0.0,0.0,0.0,Left Winger,32.0,€30.00m
Premier League,Arsenal,Martin Ødegaard,2.0,4.72,4.0,23.0,47.0,4.26,7.3,19.0,5.0,4.0,0.0,13.0,7.0,1158.0,87.26,60.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfielder,26.0,€100.00m
Premier League,Manchester City,Erling Haaland,21.0,20.93,20.0,11.0,103.0,20.39,7.28,10.0,5.0,22.0,0.0,5.0,3.0,232.0,66.86,28.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,24.0,€200.00m
Premier League,Crystal Palace,Eberechi Eze,7.0,10.25,8.0,64.0,101.0,6.93,7.28,39.0,11.0,7.0,0.0,11.0,8.0,728.0,81.98,56.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,26.0,€55.00m
Laliga,Real Betis,Cucho Hernández,3.0,3.13,4.0,13.0,34.0,8.82,7.28,12.0,6.0,3.0,0.0,2.0,1.0,183.0,72.62,11.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,26.0,€18.00m
Laliga,FC Barcelona,Iñigo Martínez,0.0,0.47,0.0,3.0,12.0,0.0,7.28,23.0,18.0,99.0,0.0,4.0,4.0,2148.0,91.29,16.0,0.0,0.0,0.0,0.0,0.0,Centre Back,33.0,€5.00m
Premier League,Manchester City,Phil Foden,7.0,5.16,3.0,14.0,54.0,12.96,7.26,12.0,9.0,7.0,1.0,7.0,2.0,750.0,88.76,43.0,0.0,0.0,0.0,0.0,0.0,Right Winger,24.0,€130.00m
Premier League,Bournemouth,Dean Huijsen,3.0,1.87,2.0,2.0,18.0,16.67,7.26,36.0,50.0,181.0,1.0,3.0,1.0,1275.0,84.27,14.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,20.0,€42.00m
Premier League,Liverpool,Luis Díaz,13.0,11.28,10.0,51.0,67.0,19.4,7.26,35.0,7.0,7.0,0.0,8.0,5.0,687.0,86.31,55.0,0.0,0.0,0.0,0.0,0.0,Left Winger,28.0,€85.00m
Premier League,Liverpool,Virgil van Dijk,3.0,2.24,3.0,3.0,27.0,11.11,7.26,35.0,54.0,184.0,1.0,2.0,1.0,2579.0,91.65,12.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,33.0,€28.00m
Laliga,Real Madrid,Daniel Carvajal,1.0,1.31,0.0,2.0,3.0,33.33,7.26,12.0,10.0,14.0,0.0,0.0,0.0,354.0,88.06,5.0,0.0,0.0,0.0,0.0,0.0,Right-Back,33.0,€10.00m
Premier League,Liverpool,Trent Alexander-Arnold,3.0,1.87,2.0,16.0,44.0,6.82,7.25,71.0,31.0,47.0,0.0,14.0,6.0,1226.0,77.89,54.0,0.0,0.0,0.0,0.0,0.0,Right-Back,26.0,€75.00m
Premier League,Liverpool,Alexis Mac Allister,5.0,2.83,2.0,16.0,38.0,13.16,7.24,95.0,22.0,29.0,1.0,6.0,5.0,1242.0,87.22,45.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,26.0,€90.00m
Premier League,Chelsea,Moisés Caicedo,1.0,0.8,0.0,27.0,19.0,5.26,7.24,107.0,49.0,50.0,0.0,5.0,2.0,1863.0,90.35,30.0,0.0,0.0,0.0,0.0,0.0,Defensive Midfield,23.0,€80.00m
Premier League,Arsenal,Gabriel Magalhães,3.0,2.61,4.0,4.0,22.0,13.64,7.24,25.0,16.0,89.0,0.0,2.0,1.0,1477.0,90.72,13.0,0.0,0.0,0.0,0.0,0.0,Centre Back,27.0,€75.00m
Premier League,Newcastle,Lewis Hall,0.0,0.41,0.0,11.0,11.0,0.0,7.24,58.0,18.0,51.0,0.0,5.0,4.0,1121.0,85.38,34.0,0.0,0.0,0.0,0.0,0.0,Left-Back,20.0,€30.00m
Premier League,Nottingham Forest,Morgan Gibbs-White,6.0,5.2,2.0,30.0,58.0,10.34,7.23,42.0,21.0,28.0,0.0,9.0,8.0,924.0,80.63,51.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,25.0,€50.00m
Laliga,Celta Vigo,Iago Aspas,9.0,8.46,3.0,12.0,48.0,18.75,7.23,13.0,7.0,3.0,0.0,6.0,4.0,604.0,76.46,34.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,37.0,€2.50m
Premier League,Tottenham,Pedro Porro,2.0,1.61,0.0,13.0,39.0,5.13,7.22,63.0,34.0,72.0,0.0,9.0,6.0,1075.0,76.51,56.0,0.0,0.0,0.0,0.0,0.0,Right-Back,25.0,€45.00m
Premier League,Newcastle,Bruno Guimarães,5.0,3.96,1.0,34.0,42.0,11.9,7.22,76.0,28.0,38.0,2.0,12.0,6.0,1359.0,83.48,49.0,0.0,0.0,0.0,0.0,0.0,Defensive Midfield,27.0,€80.00m
Premier League,Brentford,Mikkel Damsgaard,2.0,2.73,4.0,49.0,34.0,5.88,7.21,80.0,26.0,28.0,0.0,13.0,10.0,993.0,77.82,62.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,24.0,€25.00m
Laliga,Atlético Madrid,Antoine Griezmann,8.0,6.52,7.0,14.0,45.0,17.78,7.21,30.0,6.0,22.0,0.0,12.0,6.0,973.0,79.82,47.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,34.0,€22.00m
Premier League,Manchester City,Bernardo Silva,3.0,3.59,3.0,28.0,31.0,9.68,7.21,53.0,20.0,28.0,0.0,8.0,4.0,1381.0,89.5,49.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,30.0,€45.00m
Laliga,Real Madrid,Éder Militão,1.0,0.64,1.0,5.0,10.0,10.0,7.21,19.0,12.0,34.0,0.0,1.0,1.0,634.0,89.8,6.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,27.0,€40.00m
Laliga,Real Madrid,Dani Ceballos,0.0,0.35,0.0,8.0,7.0,0.0,7.21,35.0,13.0,9.0,0.0,3.0,0.0,1136.0,94.98,20.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,28.0,€10.00m
Laliga,CA Osasuna,Sergio Herrera,0.0,0.0,0.0,1.0,0.0,0.0,7.2,2.0,0.0,36.0,1.0,0.0,0.0,670.0,66.8,0.0,113.0,6.0,0.0,78.0,44.0,Goalkeeper,31.0,€4.00m
Laliga,Real Sociedad,Jon Magnuzaleia,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,53.85,1.0,0.0,0.0,0.0,0.0,0.0,Right Winger,23.0,€1.00m
Premier League,Everton,Dwight McNeil,4.0,1.09,1.0,22.0,25.0,16.0,7.2,12.0,5.0,2.0,0.0,10.0,5.0,389.0,81.55,34.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,25.0,€25.00m
Premier League,Brentford,Nathan Collins,2.0,2.5,4.0,6.0,17.0,11.76,7.2,37.0,33.0,214.0,1.0,4.0,3.0,1607.0,86.31,10.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,24.0,€28.00m
Premier League,Everton,Jordan Pickford,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.0,1.0,48.0,1.0,1.0,1.0,847.0,63.26,2.0,114.0,10.0,2.0,74.0,32.0,Goalkeeper,31.0,€20.00m
Premier League,Nottingham Forest,Murillo,2.0,1.4,2.0,26.0,24.0,8.33,7.2,53.0,32.0,230.0,1.0,2.0,0.0,1048.0,79.21,12.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,22.0,€55.00m
Laliga,Villarreal,Ayoze Pérez,16.0,11.16,11.0,33.0,70.0,22.86,7.19,24.0,7.0,10.0,0.0,5.0,2.0,305.0,77.81,31.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,31.0,€10.00m
Premier League,Manchester City,Matheus Nunes,1.0,0.91,1.0,16.0,7.0,14.29,7.19,32.0,13.0,27.0,0.0,7.0,5.0,861.0,88.49,21.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,26.0,€35.00m
Laliga,Atlético Madrid,Marcos Llorente,2.0,0.73,0.0,13.0,15.0,13.33,7.19,65.0,24.0,46.0,0.0,8.0,4.0,1058.0,87.73,27.0,0.0,0.0,0.0,0.0,0.0,Right Midfield,30.0,€28.00m
Laliga,FC Barcelona,Pablo Torre,3.0,0.37,0.0,2.0,6.0,50.0,7.18,5.0,3.0,4.0,0.0,1.0,1.0,176.0,85.44,8.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,22.0,€7.50m
Premier League,Bournemouth,Kepa Arrizabalaga,0.0,0.06,1.0,1.0,0.0,0.0,7.18,1.0,0.0,35.0,1.0,0.0,0.0,588.0,69.67,1.0,95.0,7.0,0.0,61.0,19.0,Goalkeeper,30.0,€11.00m
Laliga,Real Madrid,Arda Güler,3.0,2.96,5.0,15.0,31.0,9.68,7.18,22.0,5.0,8.0,0.0,10.0,4.0,619.0,90.1,36.0,0.0,0.0,0.0,0.0,0.0,Right Winger,20.0,€45.00m
Laliga,FC Barcelona,Jules Koundé,2.0,1.54,3.0,22.0,18.0,11.11,7.17,63.0,20.0,58.0,1.0,6.0,3.0,1601.0,88.65,32.0,0.0,0.0,0.0,0.0,0.0,Right-Back,26.0,€60.00m
Premier League,Liverpool,Cody Gakpo,10.0,6.93,6.0,29.0,53.0,18.87,7.17,27.0,11.0,14.0,0.0,8.0,3.0,427.0,83.73,34.0,0.0,0.0,0.0,0.0,0.0,Left Winger,26.0,€70.00m
Premier League,Bournemouth,Antoine Semenyo,9.0,9.44,12.0,67.0,120.0,7.5,7.17,53.0,10.0,33.0,1.0,11.0,5.0,733.0,77.98,46.0,0.0,0.0,0.0,0.0,0.0,Left Midfield,25.0,€35.00m
Premier League,Bournemouth,Justin Kluivert,12.0,9.78,6.0,35.0,59.0,20.34,7.17,21.0,13.0,22.0,0.0,6.0,6.0,521.0,81.15,45.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,26.0,€35.00m
Premier League,Nottingham Forest,Callum Hudson-Odoi,5.0,2.47,1.0,36.0,37.0,13.51,7.17,20.0,13.0,11.0,0.0,3.0,2.0,655.0,88.75,45.0,0.0,0.0,0.0,0.0,0.0,Left Winger,24.0,€24.00m
Laliga,Villarreal,Gerard Moreno,3.0,4.15,1.0,13.0,26.0,11.54,7.16,7.0,2.0,6.0,0.0,5.0,1.0,206.0,78.93,15.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,33.0,€5.00m
Premier League,West Ham,Jarrod Bowen,11.0,8.36,8.0,40.0,80.0,13.75,7.16,38.0,16.0,19.0,0.0,10.0,7.0,495.0,79.07,50.0,0.0,0.0,0.0,0.0,0.0,Right Winger,28.0,€45.00m
Laliga,Real Madrid,Eduardo Camavinga,1.0,0.44,0.0,15.0,8.0,12.5,7.16,42.0,18.0,19.0,0.0,1.0,2.0,677.0,88.96,11.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,22.0,€70.00m
Laliga,Real Sociedad,Nayef Aguerd,0.0,2.4,3.0,5.0,15.0,0.0,7.16,30.0,13.0,89.0,0.0,1.0,0.0,1209.0,87.74,6.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,29.0,€25.00m
Premier League,Brighton,João Pedro,10.0,8.9,7.0,29.0,47.0,21.28,7.15,16.0,9.0,12.0,0.0,11.0,6.0,467.0,74.6,30.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,23.0,€50.00m
Premier League,Newcastle,Jacob Murphy,8.0,5.72,5.0,33.0,43.0,18.6,7.15,24.0,12.0,26.0,1.0,16.0,12.0,598.0,75.7,41.0,0.0,0.0,0.0,0.0,0.0,Right Winger,30.0,€16.00m
Premier League,Brentford,Yoane Wissa,18.0,17.09,15.0,14.0,85.0,21.18,7.15,22.0,8.0,19.0,0.0,2.0,3.0,415.0,79.35,25.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,28.0,€30.00m
Premier League,Crystal Palace,Matheus França,1.0,0.12,0.0,0.0,3.0,33.33,7.15,1.0,0.0,0.0,0.0,0.0,0.0,4.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,21.0,€10.00m
Premier League,Arsenal,Thomas Partey,4.0,2.03,2.0,24.0,23.0,17.39,7.15,84.0,34.0,42.0,0.0,3.0,2.0,1527.0,88.57,18.0,0.0,0.0,0.0,0.0,0.0,Central Midfielder,31.0,€15.00m
Laliga,FC Barcelona,Ronald Araújo,1.0,0.95,1.0,0.0,4.0,25.0,7.15,12.0,8.0,16.0,0.0,1.0,1.0,527.0,90.86,4.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,26.0,€50.00m
Laliga,Villarreal,Juan Foyth,1.0,2.23,3.0,3.0,14.0,7.14,7.15,24.0,17.0,95.0,1.0,0.0,0.0,772.0,87.63,7.0,0.0,0.0,0.0,0.0,0.0,Right-Back,27.0,€10.00m
Premier League,Brighton,Jason Steele,0.0,0.0,0.0,0.0,0.0,0.0,7.15,0.0,0.0,3.0,0.0,0.0,0.0,94.0,89.52,0.0,3.0,1.0,0.0,2.0,2.0,Goalkeeper,34.0,€2.00m
Premier League,Southampton,Aaron Ramsdale,0.0,0.0,0.0,0.0,0.0,0.0,7.15,0.0,2.0,26.0,0.0,0.0,0.0,614.0,60.02,0.0,117.0,3.0,2.0,74.0,7.0,Goalkeeper,26.0,€16.00m
Premier League,Manchester United,Ayden Heaven,0.0,0.0,0.0,2.0,0.0,0.0,7.15,3.0,1.0,5.0,0.0,0.0,0.0,40.0,81.63,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,18.0,€1.50m
Laliga,CA Osasuna,Ante Budimir,18.0,16.65,10.0,10.0,83.0,21.69,7.14,20.0,2.0,18.0,0.0,3.0,4.0,223.0,57.03,16.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,33.0,€5.00m
Premier League,Manchester City,Rúben Dias,0.0,1.5,1.0,2.0,21.0,0.0,7.14,16.0,18.0,60.0,0.0,0.0,0.0,2036.0,93.74,5.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,27.0,€70.00m
Laliga,Real Madrid,Thibaut Courtois,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,1.0,22.0,0.0,1.0,0.0,679.0,80.26,1.0,71.0,11.0,0.0,46.0,6.0,Goalkeeper,33.0,€25.00m
Premier League,Manchester United,Casemiro,1.0,1.65,1.0,3.0,28.0,3.57,7.14,77.0,12.0,45.0,2.0,3.0,0.0,660.0,79.9,20.0,0.0,0.0,0.0,0.0,0.0,Defensive Midfield,33.0,€12.00m
Premier League,Tottenham,Brennan Johnson,11.0,9.85,8.0,19.0,53.0,20.75,7.14,39.0,4.0,8.0,0.0,4.0,3.0,424.0,76.67,19.0,0.0,0.0,0.0,0.0,0.0,Right Winger,23.0,€50.00m
Premier League,Southampton,Alex McCarthy,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,3.0,2.0,0.0,0.0,88.0,69.84,0.0,24.0,0.0,0.0,17.0,0.0,Goalkeeper,35.0,€500k
Premier League,Fulham,Antonee Robinson,0.0,0.69,1.0,34.0,16.0,0.0,7.14,90.0,57.0,114.0,2.0,6.0,10.0,1257.0,80.84,43.0,0.0,0.0,0.0,0.0,0.0,Left-Back,27.0,€35.00m
Laliga,Getafe,Luis Milla,1.0,1.78,1.0,21.0,31.0,3.23,7.14,55.0,22.0,27.0,1.0,5.0,4.0,1030.0,81.49,67.0,0.0,0.0,0.0,0.0,0.0,Central Midfield,30.0,€3.50m
Premier League,Liverpool,Dominik Szoboszlai,5.0,7.19,8.0,20.0,64.0,7.81,7.14,33.0,9.0,14.0,0.0,12.0,6.0,1008.0,85.64,53.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfield,24.0,€80.00m
Laliga,Atlético Madrid,Julián Álvarez,15.0,12.41,6.0,29.0,67.0,22.39,7.14,24.0,0.0,9.0,0.0,6.0,2.0,627.0,79.37,33.0,0.0,0.0,0.0,0.0,0.0,Forward,25.0,€90.00m
Premier League,Manchester United,Lisandro Martínez,2.0,1.3,2.0,6.0,17.0,11.76,7.14,40.0,32.0,54.0,0.0,3.0,1.0,1183.0,90.03,9.0,0.0,0.0,0.0,0.0,0.0,Centre-Back,27.0,€45.00m
Premier League,Nottingham Forest,Matz Sels,0.0,0.0,0.0,0.0,0.0,0.0,7.13,1.0,0.0,52.0,1.0,0.0,0.0,407.0,47.83,1.0,115.0,13.0,0.0,86.0,5.0,Goalkeeper,33.0,€7.00m
Premier League,Ipswich,Alex Palmer,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,21.0,0.0,0.0,0.0,222.0,64.35,1.0,44.0,0.0,0.0,30.0,10.0,Goalkeeper,28.0,€1.20m
